                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45579,                0.67501,                0.83095,                0.92517,                0.90476,                  0.995,                0.95473,                0.36247,                0.44182,                0.78055,                0.00307,                0.00307,                0.00307
                     37,                0.45061,                0.66053,                0.85208,                0.87775,                0.92857,                  0.995,                0.94999,                0.35987,                0.42679,                0.78047,               0.002872,               0.002872,               0.002872
                     38,                0.45297,                0.63718,                0.83868,                0.89904,                0.90476,                  0.995,                 0.9571,                0.35889,                0.44613,                0.78321,               0.002674,               0.002674,               0.002674
                     39,                 0.4379,                0.64114,                 0.8371,                0.78979,                0.97619,                  0.995,                0.95236,                0.34786,                0.41792,                  0.779,               0.002476,               0.002476,               0.002476
                     40,                0.43965,                0.65423,                0.83434,                0.90621,                0.92857,                  0.995,                 0.9571,                0.33314,                0.38124,                 0.7799,               0.002278,               0.002278,               0.002278
                     41,                0.44071,                0.61694,                0.83671,                0.83914,                0.97619,                  0.995,                0.95946,                0.33849,                0.38004,                0.77882,                0.00208,                0.00208,                0.00208
                     42,                0.44999,                0.62873,                0.83088,                0.88273,                0.97619,                  0.995,                 0.9571,                0.33425,                0.37293,                0.77729,               0.001882,               0.001882,               0.001882
                     43,                0.43892,                0.60733,                0.83277,                0.86518,                0.97619,                  0.995,                0.96183,                0.32665,                0.36412,                0.77666,               0.001684,               0.001684,               0.001684
                     44,                0.41498,                0.54738,                0.83175,                0.82102,                0.97619,                  0.995,                0.95946,                0.33241,                0.41175,                0.77815,               0.001486,               0.001486,               0.001486
                     45,                0.40998,                0.57283,                0.83744,                0.86945,                0.95238,                  0.995,                0.95946,                0.33512,                0.37559,                0.77563,               0.001288,               0.001288,               0.001288
                     46,                0.42752,                0.60226,                0.82908,                  0.887,                0.97619,                  0.995,                0.96183,                0.32152,                0.35731,                0.77429,                0.00109,                0.00109,                0.00109
                     47,                0.42032,                0.54824,                0.82578,                0.90353,                0.97619,                  0.995,                0.96183,                0.32289,                0.34908,                0.77564,               0.000892,               0.000892,               0.000892
                     48,                0.40337,                 0.5252,                0.82641,                0.91622,                0.95238,                  0.995,                0.95946,                0.32336,                0.33597,                0.77659,               0.000694,               0.000694,               0.000694
                     49,                0.41244,                0.57592,                0.82925,                0.92781,                0.95238,                  0.995,                0.95946,                0.32619,                0.33761,                0.77688,               0.000496,               0.000496,               0.000496
