                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63237,                0.66962,                0.81687,                0.87916,                0.92857,                  0.995,                0.90261,                0.50498,                0.46452,                 0.7822,                0.00307,                0.00307,                0.00307
                     37,                0.58751,                0.61071,                0.82147,                0.90613,                0.90476,                  0.995,                 0.9263,                0.44125,                0.44218,                0.78062,               0.002872,               0.002872,               0.002872
                     38,                0.58681,                0.62012,                0.82085,                0.90232,                0.88095,                  0.995,                0.91919,                0.45935,                0.45084,                0.77881,               0.002674,               0.002674,               0.002674
                     39,                0.58035,                0.60419,                0.82219,                0.89703,                0.88095,                  0.995,                0.91919,                 0.4611,                0.48397,                  0.779,               0.002476,               0.002476,               0.002476
                     40,                0.57123,                0.63288,                0.81651,                0.76926,                0.97619,                  0.995,                 0.9334,                0.42428,                0.44868,                0.77819,               0.002278,               0.002278,               0.002278
                     41,                0.55556,                0.58302,                 0.8252,                0.79819,                0.97619,                  0.995,                0.93104,                0.42148,                0.44117,                0.77917,                0.00208,                0.00208,                0.00208
                     42,                0.58913,                 0.6479,                 0.8113,                0.83192,                0.97619,                  0.995,                0.92393,                0.41408,                0.41943,                0.77801,               0.001882,               0.001882,               0.001882
                     43,                 0.5699,                0.60354,                0.81719,                 0.8074,                0.97619,                  0.995,                0.93577,                0.40021,                0.41527,                0.77625,               0.001684,               0.001684,               0.001684
                     44,                 0.5292,                0.55037,                0.81439,                0.78947,                0.97619,                  0.995,                0.93577,                0.39412,                0.40894,                 0.7758,               0.001486,               0.001486,               0.001486
                     45,                0.51328,                0.55766,                0.81589,                0.87953,                0.90476,                  0.995,                0.93104,                0.42051,                0.40657,                0.77628,               0.001288,               0.001288,               0.001288
                     46,                0.54715,                  0.576,                0.81721,                0.87308,                0.90476,                  0.995,                0.94051,                 0.3897,                0.39788,                 0.7754,                0.00109,                0.00109,                0.00109
                     47,                0.55334,                0.55751,                0.81473,                 0.8117,                0.97619,                  0.995,                0.93814,                 0.4078,                 0.3941,                0.77632,               0.000892,               0.000892,               0.000892
                     48,                0.53192,                0.54507,                 0.8113,                0.82351,                0.97619,                  0.995,                0.94051,                0.39359,                0.38861,                0.77525,               0.000694,               0.000694,               0.000694
                     49,                  0.514,                0.54621,                 0.8132,                0.81043,                0.97619,                  0.995,                0.94525,                0.38873,                0.37642,                0.77567,               0.000496,               0.000496,               0.000496
