                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.41436,                0.45578,                0.84668,                0.93607,                      1,                  0.995,                 0.9571,                0.34707,                0.28557,                0.78026,               0.002872,               0.002872,               0.002872
                     38,                 0.4068,                0.44357,                0.83258,                0.91664,                      1,                  0.995,                0.95473,                0.33069,                0.28807,                0.78154,               0.002674,               0.002674,               0.002674
                     39,                0.39686,                 0.4306,                0.83093,                0.92214,                      1,                  0.995,                0.95946,                0.32047,                0.26508,                0.77827,               0.002476,               0.002476,               0.002476
                     40,                0.39904,                0.45276,                0.82834,                 0.9367,                      1,                  0.995,                0.96894,                0.31829,                0.25994,                0.77906,               0.002278,               0.002278,               0.002278
                     41,                0.39574,                 0.4255,                0.82858,                0.92243,                0.97619,                  0.995,                 0.9571,                0.31971,                0.26587,                0.77768,                0.00208,                0.00208,                0.00208
                     42,                 0.4115,                0.45716,                0.82301,                0.93521,                      1,                  0.995,                0.96657,                0.32819,                 0.2624,                0.77796,               0.001882,               0.001882,               0.001882
                     43,                0.39942,                0.43833,                0.82524,                0.92134,                      1,                  0.995,                0.96657,                0.31254,                0.25602,                0.77463,               0.001684,               0.001684,               0.001684
                     44,                0.37839,                0.38727,                0.82339,                0.92725,                0.97619,                  0.995,                 0.9642,                0.32384,                0.27789,                0.77649,               0.001486,               0.001486,               0.001486
                     45,                0.37611,                0.40221,                0.82913,                0.93624,                      1,                  0.995,                0.96657,                 0.3199,                0.26777,                0.77542,               0.001288,               0.001288,               0.001288
                     46,                0.39193,                0.43312,                0.82073,                0.93436,                      1,                  0.995,                 0.9642,                0.31044,                0.25851,                0.77385,                0.00109,                0.00109,                0.00109
                     47,                0.38952,                0.40031,                0.81975,                0.94213,                      1,                  0.995,                0.96183,                 0.3172,                0.25481,                0.77506,               0.000892,               0.000892,               0.000892
                     48,                0.37224,                0.38342,                0.81845,                0.93847,                      1,                  0.995,                0.96183,                0.31567,                0.25815,                0.77541,               0.000694,               0.000694,               0.000694
                     49,                0.38549,                0.40326,                0.82194,                0.93978,                      1,                  0.995,                0.96183,                0.31245,                0.25827,                0.77509,               0.000496,               0.000496,               0.000496
