                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9429,                 5.2511,                 1.5473,                0.00469,                0.04762,                0.00938,                 0.0075,                0.99057,                 5.0405,                  1.145,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.5669,                  5.081,                 1.3519,                0.10221,                0.07143,                0.01843,                 0.0154,                0.95794,                 4.3787,                 1.0271,               0.093693,             0.00069307,             0.00069307
                      2,                 1.1995,                 4.6962,                 1.1758,                0.01087,                0.19048,                0.03139,                0.02926,                0.64733,                 4.0591,                0.87203,               0.090078,              0.0010782,              0.0010782
                      3,                0.78221,                   4.06,                0.98754,                0.09808,                0.11905,                0.05726,                0.05244,                0.62338,                 4.6569,                0.84728,               0.086455,              0.0014555,              0.0014555
                      4,                 0.6842,                 3.4819,                0.91309,                0.04984,                0.33333,                0.17605,                 0.1686,                0.53691,                 8.1485,                0.85726,               0.082825,              0.0018248,              0.0018248
                      5,                0.64869,                 3.1309,                0.88157,                0.06253,                0.38095,                0.21281,                0.19272,                0.55153,                 9.7361,                0.84961,               0.079186,              0.0021861,              0.0021861
                      6,                0.62024,                 2.7185,                0.88751,                 0.2354,                0.45833,                0.36982,                0.34508,                0.47377,                 5.6673,                0.82327,                0.07554,              0.0025396,              0.0025396
                      7,                0.56364,                 2.3302,                0.88077,                 0.4393,                0.58591,                0.52576,                0.48499,                0.49853,                  2.794,                0.81849,               0.071885,              0.0028852,              0.0028852
                      8,                0.59421,                 2.0566,                0.87707,                0.45092,                0.66076,                0.61387,                0.57736,                0.42323,                 2.3145,                0.80822,               0.068223,              0.0032228,              0.0032228
                      9,                0.56302,                 1.8386,                 0.8673,                0.79666,                0.52381,                0.69374,                0.64924,                0.41505,                 1.7749,                 0.8018,               0.064553,              0.0035525,              0.0035525
                     10,                0.55071,                 1.6703,                0.87878,                0.42569,                0.81769,                0.74055,                 0.6813,                0.45171,                 1.5598,                0.80184,               0.060874,              0.0038743,              0.0038743
                     11,                0.55589,                 1.5859,                0.85853,                0.43296,                 0.8305,                0.76994,                0.70667,                0.43311,                 1.3906,                0.80343,               0.057188,              0.0041882,              0.0041882
                     12,                0.58746,                 1.4524,                0.85533,                 0.5718,                  0.753,                0.80928,                0.74765,                0.45942,                 1.2094,                0.80868,               0.053494,              0.0044941,              0.0044941
                     13,                0.62109,                  1.383,                0.85218,                0.65768,                0.74898,                0.88036,                0.81279,                0.46203,                 1.1907,                0.81032,               0.049792,              0.0047922,              0.0047922
                     14,                0.59431,                 1.3032,                0.86722,                0.68372,                 0.7619,                 0.8977,                0.83484,                0.45077,                 1.0515,                0.81005,               0.046082,              0.0050823,              0.0050823
                     15,                 0.5856,                 1.2331,                0.86929,                 0.6341,                0.88095,                0.92854,                 0.8372,                 0.5369,                0.90082,                0.82247,               0.042364,              0.0053644,              0.0053644
                     16,                0.63634,                 1.1268,                0.86519,                0.66945,                0.82272,                0.93459,                0.85902,                 0.5079,                0.87546,                 0.8201,               0.038639,              0.0056387,              0.0056387
                     17,                0.70269,                 1.1275,                0.86509,                0.80872,                0.78571,                0.93656,                0.84717,                0.52171,                0.79463,                0.82052,               0.034905,              0.0059051,              0.0059051
                     18,                0.65306,                 1.0838,                0.86244,                0.54813,                0.91395,                0.94959,                 0.8878,                0.43495,                0.79673,                 0.7981,               0.031163,              0.0061635,              0.0061635
                     19,                0.60348,                0.98246,                 0.8604,                0.87373,                 0.8129,                0.94367,                0.86352,                 0.4789,                0.70244,                 0.8114,               0.027414,               0.006414,               0.006414
                     20,                 0.6199,                0.99963,                0.85367,                 0.9145,                0.78571,                0.95946,                0.88602,                0.46564,                0.78945,                0.81036,               0.023657,              0.0066566,              0.0066566
                     21,                0.61099,                 1.0097,                0.85919,                0.67617,                0.85714,                0.97131,                0.89432,                0.45595,                0.82796,                0.79851,               0.019891,              0.0068913,              0.0068913
                     22,                0.57217,                0.97015,                0.85356,                0.80669,                0.85714,                0.97131,                0.89905,                0.46928,                0.73298,                0.82538,               0.016118,               0.007118,               0.007118
                     23,                0.59575,                0.94422,                0.86647,                0.78558,                0.85714,                0.98315,                0.91564,                0.46204,                0.72366,                0.80936,               0.012337,              0.0073369,              0.0073369
                     24,                0.57175,                0.91664,                0.86811,                0.84539,                0.83333,                0.97921,                0.88839,                 0.5158,                0.68016,                0.82893,              0.0085478,              0.0075478,              0.0075478
                     25,                 0.6089,                0.89329,                0.86763,                0.69236,                0.92857,                  0.995,                0.90261,                0.50102,                0.59911,                0.82644,               0.007525,               0.007525,               0.007525
